entity_id,state,last_changed
sensor.reason,"Stable at 18A, battery charging 851W, grid 0W",2026-03-31T12:00:00.000Z
sensor.reason,"Stable at 18A, battery charging 834W, grid 0W",2026-03-31T12:00:01.072Z
sensor.reason,"Stable at 18A, battery charging 732W, grid 0W",2026-03-31T12:00:31.071Z
sensor.reason,"Stable at 18A, battery charging 727W, grid 20W",2026-03-31T12:01:01.071Z
sensor.reason,"Stable at 18A, battery charging 897W, grid 52W",2026-03-31T12:01:31.072Z
sensor.reason,"Stable at 18A, battery charging 844W, grid 0W",2026-03-31T12:02:01.071Z
sensor.reason,"Stable at 18A, battery charging 778W, grid 0W",2026-03-31T12:02:31.073Z
sensor.reason,"Stable at 18A, battery charging 832W, grid 42W",2026-03-31T12:03:01.074Z
sensor.reason,"Stable at 18A, battery charging 798W, grid 20W",2026-03-31T12:03:31.072Z
sensor.reason,"Stable at 18A, battery charging 866W, grid 40W",2026-03-31T12:04:01.072Z
sensor.reason,"Stable at 18A, battery charging 795W, grid 0W",2026-03-31T12:04:31.072Z
sensor.reason,"Stable at 18A, battery charging 759W, grid 20W",2026-03-31T12:05:01.077Z
sensor.reason,"Stable at 18A, battery charging 613W, grid 24W",2026-03-31T12:05:31.071Z
sensor.reason,"Stable at 18A, battery charging 674W, grid 0W",2026-03-31T12:06:01.071Z
sensor.reason,"Stable at 18A, battery charging 804W, grid 26W",2026-03-31T12:06:31.072Z
sensor.reason,"Stable at 18A, battery charging 859W, grid 38W",2026-03-31T12:07:01.072Z
sensor.reason,"Stable at 18A, battery charging 826W, grid 20W",2026-03-31T12:07:31.071Z
sensor.reason,"Stable at 18A, battery charging 823W, grid 0W",2026-03-31T12:08:01.071Z
sensor.reason,"Stable at 18A, battery charging 771W, grid 26W",2026-03-31T12:08:31.072Z
sensor.reason,"Stable at 18A, battery charging 894W, grid 0W",2026-03-31T12:09:01.072Z
sensor.reason,"Stable at 18A, battery charging 895W, grid 0W",2026-03-31T12:09:31.072Z
sensor.reason,"Stable at 18A, battery charging 873W, grid 30W",2026-03-31T12:10:01.072Z
sensor.reason,"Stable at 18A, battery charging 809W, grid 0W",2026-03-31T12:10:31.071Z
sensor.reason,"Stable at 18A, battery charging 804W, grid 56W",2026-03-31T12:11:01.072Z
sensor.reason,"Stable at 18A, battery charging 872W, grid 46W",2026-03-31T12:11:31.072Z
sensor.reason,"Stable at 18A, battery charging 851W, grid 0W",2026-03-31T12:12:01.072Z
sensor.reason,"Stable at 18A, battery charging 814W, grid 0W",2026-03-31T12:12:31.071Z
sensor.reason,"Stable at 18A, battery charging 828W, grid 0W",2026-03-31T12:13:01.072Z
sensor.reason,"Stable at 18A, battery charging 938W, grid 50W",2026-03-31T12:13:31.071Z
sensor.reason,"Stable at 18A, battery charging 864W, grid 36W",2026-03-31T12:14:01.072Z
sensor.reason,"Stable at 18A, battery charging 859W, grid 38W",2026-03-31T12:14:31.072Z
sensor.reason,"Stable at 18A, battery charging 852W, grid 20W",2026-03-31T12:15:01.073Z
sensor.reason,"Stable at 18A, battery charging 876W, grid 0W",2026-03-31T12:15:31.073Z
sensor.reason,"Stable at 18A, battery charging 794W, grid 0W",2026-03-31T12:16:01.078Z
sensor.reason,"Stable at 18A, battery charging 818W, grid 40W",2026-03-31T12:16:31.075Z
sensor.reason,"Stable at 18A, battery charging 880W, grid 0W",2026-03-31T12:17:01.073Z
sensor.reason,"Stable at 18A, battery charging 791W, grid 0W",2026-03-31T12:17:31.072Z
sensor.reason,"Stable at 18A, battery charging 822W, grid 0W",2026-03-31T12:18:01.072Z
sensor.reason,"Stable at 18A, battery charging 789W, grid 24W",2026-03-31T12:18:31.072Z
sensor.reason,"Stable at 18A, battery charging 749W, grid 0W",2026-03-31T12:19:01.073Z
sensor.reason,"Stable at 18A, battery charging 716W, grid 24W",2026-03-31T12:19:31.080Z
sensor.reason,"Stable at 18A, battery charging 828W, grid 0W",2026-03-31T12:20:01.073Z
sensor.reason,"Stable at 18A, battery charging 720W, grid 0W",2026-03-31T12:20:31.073Z
sensor.reason,"Stable at 18A, battery charging 875W, grid 0W",2026-03-31T12:21:01.072Z
sensor.reason,"Stable at 18A, battery charging 769W, grid 42W",2026-03-31T12:21:31.073Z
sensor.reason,"Stable at 18A, battery charging 678W, grid 0W",2026-03-31T12:22:01.073Z
sensor.reason,"Stable at 18A, battery charging 870W, grid 28W",2026-03-31T12:22:31.072Z
sensor.reason,"Stable at 18A, battery charging 872W, grid 0W",2026-03-31T12:23:01.072Z
sensor.reason,"Stable at 18A, battery charging 744W, grid 34W",2026-03-31T12:23:31.073Z
sensor.reason,"Stable at 18A, battery charging 730W, grid 0W",2026-03-31T12:24:01.071Z
sensor.reason,"Stable at 18A, battery charging 691W, grid 0W",2026-03-31T12:24:31.073Z
sensor.reason,"Stable at 18A, battery charging 760W, grid 26W",2026-03-31T12:25:01.072Z
sensor.reason,"Stable at 18A, battery charging 758W, grid 22W",2026-03-31T12:25:31.072Z
sensor.reason,"Stable at 18A, battery charging 852W, grid 0W",2026-03-31T12:26:01.072Z
sensor.reason,"Stable at 18A, battery charging 872W, grid 46W",2026-03-31T12:26:31.072Z
sensor.reason,"Stable at 18A, battery charging 884W, grid 30W",2026-03-31T12:27:01.072Z
sensor.reason,"Stable at 18A, battery charging 816W, grid 62W",2026-03-31T12:27:31.071Z
sensor.reason,"Stable at 18A, battery charging 638W, grid 48W",2026-03-31T12:28:01.073Z
sensor.reason,"Stable at 18A, battery charging 591W, grid 0W",2026-03-31T12:28:31.073Z
sensor.reason,"Stable at 18A, battery charging 659W, grid 44W",2026-03-31T12:29:01.072Z
sensor.reason,"Stable at 18A, battery charging 559W, grid -82W",2026-03-31T12:29:31.072Z
sensor.reason,"Stable at 18A, battery charging 555W, grid -108W",2026-03-31T12:30:01.071Z
sensor.reason,"Stable at 18A, battery charging 556W, grid -40W",2026-03-31T12:30:31.072Z
sensor.reason,"Stable at 18A, battery charging 557W, grid -82W",2026-03-31T12:31:01.072Z
sensor.reason,"Stable at 18A, battery charging 553W, grid -194W",2026-03-31T12:31:31.073Z
sensor.reason,"Stable at 18A, battery charging 557W, grid -162W",2026-03-31T12:32:01.072Z
